Title,Domain
Army warns soldiers to be ready for potential violence by incels at 'Joker' screenings: reports,foxnews.com
You Can Actually Bet on a Dildo Being Thrown on the Field in Patriots vs Bills Game – Odds Favor Yes,sportsbettingdime.com
"He shot his girlfriend in the head but didn't tell her. She finally went to the doctor, and now he's going to prison",cnn.com
Man takes out 10 inch penis in front of shop staff to prove he wasn't stealing,twnews.co.uk
"Woman says she was stopped by squirrel, who tugged on her leg and led her to help its injured baby",fox5atlanta.com
Facebook confirms its “standards” don’t apply to politicians,arstechnica.com
Man wanted for allegedly completing a divorce without telling his wife,globalnews.ca
Polish president: Israel is responsible for all recent antisemitism in Poland,jpost.com
WH accidentally sent Ukraine talking points to Democrats -- then tried to recall them,cnn.com
Snoop Dogg reminds Tekashi 6ix9ine that Martha Stewart didn't snitch on anybody,avclub.com
"During early voting, Memphis City Council candidate arrested for allegedly pulling gun on poll worker",commercialappeal.com
'Potential to excel in life': NUS undergrad who molested woman gets probation for 'minor intrusion' offences,straitstimes.com
‘I am Groot’ Student gets 95/100 on epic resumé/cover letter assignment; repeating famous Marvel catchphrase hundreds of times,lovewhatmatters.com
A teacher has apologized for telling students to write captions for photos of freed slaves and to 'make it funny',cnn.com
United flight diverted to free passenger trapped in bathroom,cnn.com
Alcohol set to be subsidised and more available at 2022 World Cup in Qatar,theguardian.com
Police: Speed enforcement equipment swiped during detail,wfmz.com
Omaha police investigate 'assault with a banana',omaha.com
Vlogger burnt out own car on Meath beach as 'demonstration of remorse' to wife he cheated on,dublin
Referee at Maine Maritime Academy football game shot by cannon,usatoday.com
Japan Airlines seat map helps avoid screaming babies,bbc.co.uk
Teacher apologizes for having students write 'funny' captions on slavery pictures,nbcnews.com
Thousands of drivers fined for smoking in cars across Turkey,yenisafak.com
PUBG Devs disable a Halloween skin after it looked like the lion had a penis,pcgamesn.com
"Man who died while having sex on a business trip was a victim of work accident, court rules",mazech.com
Iowa farmer convicted of murdering wife with corn rake after learning of secret affair,foxnews.com
Rio Rancho man bites police dog during arrest,koat.com
'CO2 is plant food': Australian group signs international declaration denying climate science,theguardian.com
South Korea mayor dumps tonne of trash on beach for clean-up day,channelnewsasia.com
"Delta Airline employee arrested in connection with missing $300,000 at JFK Airport",mazechmedia.com
Wrightbus owner ‘made God a shareholder’ as it recorded £1.7m loss,irishtimes.com
"Guess who's back, back again? Shady 'lawyer' is back, tell your friends",cbc.ca
Liverpool FC fail in move to trademark the word ‘Liverpool’,theguardian.com
"Bizarre fake police force included Kamala Harris aide, prosecutors say - Los Angeles Times",latimes.com
Boris Johnson: Best way to honour murdered MP Jo Cox is to get Brexit done,belfasttelegraph.co.uk
Clive Palmer: Australia ex-MP threatens YouTuber over 'dense Humpty' video,bbc.com
Prosecutor: Man Claiming Insanity Knew Driving From California to Kill Ex-Wife’s Family in Texas Was Wrong,ktla.com
Chinese relatives marry each other 23 times in two weeks in alleged scam,ctvnews.ca
17 Daily Habits My Dad Insists Will Make You Happier and More Successful,inc.com
Man drowns during underwater marriage proposal,bbc.com
Ken Starr on Democrats' impeachment push: 'Terrible mistake for our country',foxnews.com
Driver charged with impaired driving while picking up driver charged with impaired driving,ottawacitizen.com
"Cheddar-gate: French chef sues Michelin Guide, claiming he lost a star for using cheddar",france24.com
"Disneyland Paris visitor on bad LSD trip falls into Adventureland lake, turns up naked after 130-person search",ocregister.com
Man rescued by Rock Island Fire Dept. after trying to travel to Kentucky on a log,kwqc.com
Police retrieve stolen mascot costume after sightings of cycling canine,cbc.ca
"Woman charged with abandoning adopted 11-year-old, claims girl was really 22-year-old sociopath",newsweek.com
Feds ask Ames officials to remove 'inclusive' crosswalks,kcci.com
Angry Eagles fan who went viral turns out to be Penn’s dean of admissions,inquirer.com
"Walrus attacks Russian Navy, sinking inflatable boat",arstechnica.com
Police round up actual spotted cows at the home of Spotted Cow beer,wqow.com
Ashford postman Robert Lockyer sacked 'for being a minute late with delivery',kentonline.co.uk
Chuck Yeager sues Airbus for writing “Yeager broke the sound barrier”,arstechnica.com
Viral 'beer money' request reportedly generates $1 million in donations for children's hospital,abcnews
Hucknall man named Thomas Cook has dream wedding shattered by failed holiday company,nottinghampost.com
Xi Jinping's Quotes Replace the Ten Commandments in Churches,bitterwinter.org
Church leaders urge government to ban pointed kitchen knives,premier.org
Woman bites camel to save herself after freak encounter in Iberville Parish,wbrz.com
Costs for Portland water treatment plant rise 70% -- because planners now including pipes,oregonlive.com
'Jacob Leeks Mogg' comes second in Newent Onion Show,bbc.co.uk
World’s largest humanoid robot is too tall to leave its warehouse,guinnessworldrecords.com
"Yep, SpongeBob just directly referenced a classic creepypasta about Squidward killing himself",avclub.com
Texas Jail Again Releases Inmates by Mistake,nbcdfw.com
"After 140 mph chase, man tells police he didn’t think their cruisers could catch his 2002 Acura",fox59.com
Imran Khan claims 58 countries support Pakistan. UNHRC has 47 members,hindustantimes.com
North-east man in court for farting while bent over during strip search,eveningexpress.co.uk
"Man who broke into Wichita restaurant ate chicken fingers, stole lottery tickets: Police",kake.com
"For Fat Cats, The Struggle Is Real When It Comes To Losing Weight And Keeping It Off",npr.org
Climate activists glue themselves to A20 near Dover,sky.com
LOUIS VUITTON ANNOUNCES LEAGUE OF LEGENDS PARTNERSHIP,archive.org
